nom_burger,lipides_100g,acides_gras_satures_100g,glucides_100g,sucres_100g,fibres_100g,proteines_100g,sel_100g,calories_100g
Le Double Big Mac™,14,5.3,14,2.6,1.3,14,0.86,241
McExtreme - 1 Steak Haché,21,7.4,15,3.6,0.9,17,1.1,319
McExtreme - 2 Steaks Hachés,21,8,11,2.5,0.7,19,0.91,310
Les Veggie McPlant® Nuggets,16,1.5,21,0.9,4.1,13,1.1,287
Le McVeggie®,8.2,0.9,23,3.7,3.3,8.7,8,207
Le McWrap® Veggie,9,2.1,21,2.3,2.7,8.3,1.2,204
Le Filet-O-Fish™,11,1.8,27,3.9,1.6,11,1.1,251
Le Filet-O-Fish™ Deluxe,9.1,2.2,22,3.5,1.5,9.7,0.95,212
Le McFish™ Mayo,10,1.1,30,3.8,1.8,12,1.1,262
Le McFish™,6.5,0.8,32,6.4,2,11,1.1,234
Le Croque McDo™,11,6,29,5.4,1.8,15,2,276
Le McWrap™ Chèvre,11,3.8,27,1.7,1.6,7.1,1.2,245
Le McChicken™,10,1.2,24,3.4,1.8,10,1.1,230
Le McFirst™ Poisson,8.1,1.9,25,5.4,1.6,9.2,1.1,213
Le Cheeseburger,11,4.7,25,6.3,1.8,13,1.3,253
Le Egg & Cheese McMuffin®,7.7,3.2,20,1.6,1.5,12,0.88,202
Le CBO™,14,3.1,23,3.7,1.6,11,1.1,263
Le Hamburger,8.5,3.3,28,6.3,2.1,13,1.1,242
Le McWrap™ New York & Poulet Bacon,11,2.3,23,1.7,1.4,9,1.1,226
Le Big Mac™,12,4.2,18,3.4,1.6,12,0.99,228
Le Royal Cheese™,13,6,19,4.9,1.2,15,1.2,253
La Boîte de 20 Chicken McNuggets™,13,1.4,18,0.4,0.8,14,1.1,245
Le P’tit Wrap Ranch,12,2.4,25,2.2,1.3,9.7,0.9,247
Le Egg & Bacon McMuffin®,8.4,3.4,20,1.6,1.5,13,0.92,208
Le Double Cheeseburger,13,6.4,18,4.8,1.3,16,1.3,257
Le Royal™ Deluxe,14,4.7,15,3,1.2,12,0.86,233
Le Royal™ Bacon,12,5.4,19,4.7,1.3,15,1.1,250
Le McFirst™ Bœuf,11,4.4,19,5,1.4,12,1,224
Le P'tit Wrap Chèvre,10,3.3,25,2.2,1.7,6.7,0.67,223
Le Big Tasty™ - 1 Steak Haché,14,5.9,13,3,1.1,13,1.2,231
Le McFirst™ Poulet,8,1.9,23,4,2,10,1.2,210
Le Big Tasty™ - 2 Steaks Hachés,15,6.6,10,2.3,0.8,15,1,240
Le Double Cheese Bacon,14,6.5,18,4.7,1.3,16,1.3,260
